Archivo,Peso (KB),Algoritmo,Energia Encrypt (J),Energia Encrypt (J/byte),Energia Decrypt (J),Energia Decrypt (J/byte)
audio_069.mp3,3338.09,ChaCha20,0.0005,0.00000000,0.0032,0.00000000
audio_069.mp3,3338.09,Camellia,0.0591,0.00000002,0.0873,0.00000003
audio_070.mp3,3387.07,AES,0.0074,0.00000000,0.0019,0.00000000
audio_070.mp3,3387.07,3DES,1.4846,0.00000043,2.0411,0.00000059
audio_070.mp3,3387.07,ChaCha20,0.0077,0.00000000,0.0029,0.00000000
audio_070.mp3,3387.07,Camellia,0.0640,0.00000002,0.0247,0.00000001
audio_071.mp3,3436.05,AES,0.0064,0.00000000,0.0114,0.00000000
audio_071.mp3,3436.05,3DES,2.2218,0.00000063,1.7015,0.00000048
audio_071.mp3,3436.05,ChaCha20,0.0026,0.00000000,0.0047,0.00000000
audio_071.mp3,3436.05,Camellia,0.0183,0.00000001,0.0037,0.00000000
audio_072.mp3,3484.42,AES,0.0010,0.00000000,0.0119,0.00000000
audio_072.mp3,3484.42,3DES,1.9732,0.00000055,2.1663,0.00000061
audio_072.mp3,3484.42,ChaCha20,0.0011,0.00000000,0.0078,0.00000000
audio_072.mp3,3484.42,Camellia,0.0176,0.00000000,0.0196,0.00000001
audio_073.mp3,3533.40,AES,0.0103,0.00000000,0.0019,0.00000000
audio_073.mp3,3533.40,3DES,2.9397,0.00000081,2.0597,0.00000057
audio_073.mp3,3533.40,ChaCha20,0.0059,0.00000000,0.0096,0.00000000
audio_073.mp3,3533.40,Camellia,0.0673,0.00000002,0.0824,0.00000002
audio_074.mp3,3581.76,AES,0.0035,0.00000000,0.0116,0.00000000
audio_074.mp3,3581.76,3DES,1.6438,0.00000045,1.6046,0.00000044
audio_074.mp3,3581.76,ChaCha20,0.0051,0.00000000,0.0095,0.00000000
audio_074.mp3,3581.76,Camellia,0.1299,0.00000004,0.0096,0.00000000
audio_075.mp3,3630.75,AES,0.0019,0.00000000,0.0043,0.00000000
audio_075.mp3,3630.75,3DES,3.7090,0.00000100,1.9028,0.00000051
audio_075.mp3,3630.75,ChaCha20,0.0048,0.00000000,0.0158,0.00000000
audio_075.mp3,3630.75,Camellia,0.0638,0.00000002,0.0169,0.00000000
