Archivo,Tamaño (KB),Algoritmo,Tiempo Encrypt (s),Velocidad Encrypt (bytes/s),Tiempo Decrypt (s),Velocidad Decrypt (bytes/s)
audio_075.mp3,3630.75,Camellia,0.023207,160205590.25,0.021251,174953232.72
audio_076.mp3,3679.11,AES,0.007989,471564863.98,0.005331,706725123.08
audio_076.mp3,3679.11,3DES,0.788724,4776591.56,0.776394,4852449.52
audio_076.mp3,3679.11,ChaCha20,0.002973,1267072971.45,0.002956,1274533555.97
audio_076.mp3,3679.11,Camellia,0.023544,160015260.88,0.021582,174565477.54
audio_077.mp3,3728.09,AES,0.008491,449624630.58,0.004970,768110541.31
audio_077.mp3,3728.09,3DES,0.793413,4811572.37,0.783257,4873964.90
audio_077.mp3,3728.09,ChaCha20,0.003170,1204364975.11,0.004402,867155826.92
audio_077.mp3,3728.09,Camellia,0.025099,152098641.11,0.023492,162505910.20
audio_078.mp3,3777.07,AES,0.008603,449573153.23,0.004915,786960204.77
audio_078.mp3,3777.07,3DES,0.811452,4766419.07,0.800547,4831349.95
audio_078.mp3,3777.07,ChaCha20,0.003387,1141859482.03,0.003111,1243286148.16
audio_078.mp3,3777.07,Camellia,0.024322,159021287.87,0.022240,173908916.73
audio_079.mp3,3825.44,AES,0.006599,593574174.48,0.005321,736216030.37
audio_079.mp3,3825.44,3DES,0.815802,4801713.39,0.808100,4847483.46
audio_079.mp3,3825.44,ChaCha20,0.002964,1321493859.06,0.003506,1117392080.37
audio_079.mp3,3825.44,Camellia,0.024391,160599512.73,0.024030,163015142.03
audio_080.mp3,3874.42,AES,0.007043,563301799.76,0.004939,803345489.37
audio_080.mp3,3874.42,3DES,0.833398,4760514.79,0.816405,4859602.43
audio_080.mp3,3874.42,ChaCha20,0.003401,1166444586.21,0.003567,1112184097.50
audio_080.mp3,3874.42,Camellia,0.026407,150237885.78,0.024705,160593119.67
audio_081.mp3,3922.79,AES,0.009380,428261456.38,0.005034,797889465.59
audio_081.mp3,3922.79,3DES,0.828977,4845647.49,0.829440,4842945.35
audio_081.mp3,3922.79,ChaCha20,0.002915,1378065921.42,0.003097,1296915861.39
audio_081.mp3,3922.79,Camellia,0.025012,160597025.60,0.022966,174904845.48
audio_082.mp3,3971.76,AES,0.011332,358909282.17,0.005581,728688563.54
audio_082.mp3,3971.76,3DES,0.843730,4820364.31,0.839948,4842071.71
audio_082.mp3,3971.76,ChaCha20,0.003193,1273600065.14,0.003050,1333432288.94
audio_082.mp3,3971.76,Camellia,0.025142,161766484.02,0.024252,167703175.14
audio_083.mp3,4020.13,AES,0.009099,452401062.60,0.005134,801780309.04
audio_083.mp3,4020.13,3DES,0.867854,4743441.07,0.900246,4572765.95
